Word Pair	Frequency	TF-IDF
মায়া - তার	2	0.0000
তার - ভেতরে	2	0.0000
তার - অন্য	3	0.0000
তার - শুরু	2	0.0000
ভেতরে - একটি	3	0.0000
এবার - করা	2	0.0000
শুরু - করা	3	0.0000
স্কুল - ফিরা	2	0.0000
স্কুল - তার	2	0.0000
রাকিবুল - থাক	2	0.0000
মা - আপনার	3	0.0000
মৃদু - লেন	2	0.0000
লেন - আপনার	6	0.0000
মা - বাবা	2	0.0000
চলা - লেন	2	0.0000
চলা - আপনার	2	0.0000
লেন - লেন	2	0.0000
লেন - বাবা	3	0.0000
লেন - বাসা	2	0.0000
লেন - এলে	2	0.0000
লেন - পরীক্ষা	2	0.0000
লেন - কথা	2	0.0000
লেন - জানা	2	0.0000
যাওয়া - আপনার	3	0.0000
আপনার - পরীক্ষা	2	0.0000
আপনার - কথা	2	0.0000
আপনার - জানা	2	0.0000
বাবা - কথা	2	0.0000
শেষ - আসা	2	0.0000
কথা - রাকিবুল	2	0.0000
রাকিবুল - হৃদয়	2	0.0000
মাবাবা - করা	2	0.0000
রাগ - করা	2	0.0000
করা - তাদের	2	0.0000
করা - ভালোবাসা	2	0.0000
করা - কখনো	2	0.0000
কখনো - না	3	0.0000
রাকিবুল - জন্য	2	0.0000
বুঝ - থাকা	2	0.0000
তার - জন্য	3	0.0000
তার - থাকা	3	0.0000
তার - ভেতরের	2	0.0000
রাকিবুল - খাতা	2	0.0000
করা - জন্য	4	0.0000
আগের - গুলো	2	0.0000
আগের - দেখা	2	0.0000
গুলো - নতুন	2	0.0000
গুলো - দেখা	3	0.0000
গুলো - শুরু	3	0.0000
সম্ভব - হওয়া	3	0.0000
হওয়া - রাকিবুল	3	0.0000
দেখা - শুরু	2	0.0000
কয়েক - নিজ	2	0.0000
অংক - নিজ	4	0.0000
অংক - করা	2	0.0000
নিজ - পারা	2	0.0000
নিজ - দেখা	2	0.0000
নিজ - অদ্ভূত	2	0.0000
নিজ - আত্মবিশ্বাস	2	0.0000
নিজ - তৈরি	2	0.0000
দেখা - হওয়া	2	0.0000
আত্মবিশ্বাস - হওয়া	2	0.0000
গুলো - পেত	2	0.0000
একটু - না	2	0.0000
চেষ্টা - না	5	0.0000
গুলো - আগের	2	0.0000
গুলো - না	2	0.0000
তাক - না	2	0.0000
অংক - নেওয়া	2	0.0000
করা - নিজ	2	0.0000
নিজ - নেওয়া	2	0.0000
বরং - শিখ	2	0.0000
বুঝ - শিখ	2	0.0000
বুঝ - করা	3	0.0000
শিখ - করা	2	0.0000
শিখ - মান	2	0.0000
শিখ - থাকা	3	0.0000
করা - থাকা	3	0.0000
মান - শিখ	2	0.0000
মান - থাকা	2	0.0000
তার - উন্নত	2	0.0000
শিক্ষক - করা	2	0.0000
খেয়াল - করা	2	0.0000
করা - রাকিবুল	2	0.0000
করা - বরং	2	0.0000
করা - জানতে	2	0.0000
করা - চা	2	0.0000
রাকিবুল - বরং	2	0.0000
থাকা - না	2	0.0000
হওয়া - তার	4	0.0000
হওয়া - কে	3	0.0000
তার - কে	2	0.0000
তার - যাওয়া	2	0.0000
মিস - নেওয়া	2	0.0000
মিস - কথা	2	0.0000
এবার - না	2	0.0000
করা - যদি	3	0.0000
করা - তাহলে	2	0.0000
করা - দিন	2	0.0000
করা - হ	2	0.0000
যদি - চেষ্টা	2	0.0000
চেষ্টা - দিন	2	0.0000
মিস - শারমিন	2	0.0000
মিস - লেন	2	0.0000
শারমিন - লেন	2	0.0000
তার - লেন	2	0.0000
